timestamp,title,reward_usd,link
2025-06-20T14:53:35.969699,A giraffe operation and a Juneteenth parade: photos of the day – Friday,0.00,https://www.theguardian.com/news/gallery/2025/jun/20/a-giraffe-operation-and-a-juneteenth-parade-photos-of-the-day-friday
2025-06-20T14:53:36.308790,Sign up for the Guide newsletter: our free pop-culture email,0.00,https://www.theguardian.com/global/2022/sep/20/sign-up-for-the-guide-newsletter-our-free-pop-culture-email
2025-06-20T14:53:36.394561,Sign up for the Football Daily newsletter: our free football email,0.00,https://www.theguardian.com/info/2022/nov/14/football-daily-email-sign-up
2025-06-20T14:53:36.529714,Sign up for the Feast newsletter: our free Guardian food email,0.00,https://www.theguardian.com/food/2019/jul/09/sign-up-for-the-feast-newsletter-our-free-guardian-food-email
2025-06-20T14:53:36.633444,Sign up for the First Edition newsletter: our free daily news email,0.00,https://www.theguardian.com/global/2022/sep/20/sign-up-for-the-first-edition-newsletter-our-free-news-email
2025-06-20T14:53:36.728212,Why MI6 chief is C and uses green ink | Brief letters,0.00,https://www.theguardian.com/uk-news/2025/jun/19/why-mi6-chief-is-c-and-uses-green-ink
2025-06-20T14:53:36.834597,Ending sheep farming in the Lake District is not our aim | Letter,0.00,https://www.theguardian.com/environment/2025/jun/19/ending-sheep-farming-in-the-lake-district-is-not-our-aim
2025-06-20T14:53:36.939316,Ordinary Zambians lose out twice: to global looting and local corruption | Letters,0.00,https://www.theguardian.com/world/2025/jun/19/ordinary-zambians-lose-out-twice-to-global-looting-and-local-corruption
2025-06-20T14:53:37.059029,Nuclear non-proliferation is a failure in the Middle East | Letters,0.00,https://www.theguardian.com/world/2025/jun/19/nuclear-non-proliferation-is-a-failure-in-the-middle-east
2025-06-20T14:53:37.146795,Share your horror stories of driving abroad,0.00,https://www.theguardian.com/lifeandstyle/2025/jun/19/share-your-horror-stories-of-driving-abroad
2025-06-20T14:53:37.246528,Tell us your favourite film of 2025 so far,0.00,https://www.theguardian.com/film/2025/jun/11/tell-us-your-favourite-film-of-2025-so-far
2025-06-20T14:53:37.322325,Living in Iran: how have you been affected by the recent conflict?,0.00,https://www.theguardian.com/world/2025/jun/16/living-in-iran-how-have-you-been-affected-by-the-recent-conflict-israel-strikes
2025-06-20T14:53:37.435170,Living in Israel: how have you been affected by the recent conflict?,0.00,https://www.theguardian.com/world/2025/jun/16/living-in-israel-how-have-you-been-affected-by-the-recent-conflict-strikes
2025-06-20T14:53:37.511176,How the earth shook for nine days and nobody knew why – video,0.00,https://www.theguardian.com/science/video/2025/jun/19/how-the-earth-shook-for-nine-days-and-nobody-knew-why
2025-06-20T14:53:37.617127,"‘He just told me lies to have sex with a teenage girl’: Natalie Fleet MP on grooming, statutory rape and fighting back",0.00,https://www.theguardian.com/politics/2025/jun/19/natalie-fleet-mp-on-grooming-statutory-and-fighting-back
2025-06-20T14:53:37.694095,Poison in the water: the town with the world’s worst case of forever chemicals contamination,0.00,https://www.theguardian.com/environment/2025/jun/19/world-worst-case-of-pfas-forever-chemicals-contamination-kallinge
2025-06-20T14:53:37.789052,Waska:  the cost of spiritual healing in the Amazon,0.00,https://www.theguardian.com/environment/video/2025/jun/17/waska-the-cost-of-spiritual-healing-in-the-amazon
2025-06-20T14:53:37.881048,A moment that changed me: I stepped into the boxing ring – and decades of quiet anger lifted,0.00,https://www.theguardian.com/lifeandstyle/2025/jun/18/a-moment-that-changed-me-i-stepped-into-the-boxing-ring-and-decades-of-quiet-anger-lifted
2025-06-20T14:53:37.955451,How to become a birder: 10 easy ways to start this life-changing hobby,0.00,https://www.theguardian.com/environment/2025/jun/19/how-to-become-a-birder-10-easy-ways-to-start-this-life-changing-hobby
2025-06-20T14:53:38.021275,You be the judge: should my colleague stop bringing cakes into the office?,0.00,https://www.theguardian.com/lifeandstyle/2025/jun/19/you-be-the-judge-should-my-colleague-stop-bringing-cakes-into-the-office
