timestamp,title,reward,link,summary
2025-06-24T23:12:35.482941,(Standard) | ・上記はあくまでも今後の予測値であり、下限での予測値の場合では、最終的に１年間に | 264 chars | Reward: US$5.28 | Japanese/English,5.28,https://gengo.com/t/jobs/details/33808373?referral=rss,・上記はあくまでも今後の予測値であり、下限での予測値の場合では、最終的に１年間に
2025-06-25T05:25:40.775087,(Standard) | １～２枚しゃぶしゃぶする | 12 chars | Reward: US$0.24 | Japanese/English,0.24,https://gengo.com/t/jobs/details/33808454?referral=rss,１～２枚しゃぶしゃぶする
2025-06-25T05:26:12.482491,(Standard) | １～２枚しゃぶしゃぶする | 12 chars | Reward: US$0.24 | Japanese/English,0.24,https://gengo.com/t/jobs/details/33808454?referral=rss,１～２枚しゃぶしゃぶする
2025-06-25T05:26:44.061937,(Standard) | １～２枚しゃぶしゃぶする | 12 chars | Reward: US$0.24 | Japanese/English,0.24,https://gengo.com/t/jobs/details/33808454?referral=rss,１～２枚しゃぶしゃぶする
2025-06-25T05:27:15.766486,(Standard) | １～２枚しゃぶしゃぶする | 12 chars | Reward: US$0.24 | Japanese/English,0.24,https://gengo.com/t/jobs/details/33808454?referral=rss,１～２枚しゃぶしゃぶする
2025-06-25T06:33:34.126276,(Standard) | 20250620【英】326840_【N】慶州照葉（ドリンク）（英＆簡＆韓... | 74 chars | Reward: US$1.48 | Japanese/English,1.48,https://gengo.com/t/jobs/details/33808461?referral=rss,20250620【英】326840_【N】慶州照葉（ドリンク）（英＆簡＆韓＆日）.xlsx
2025-06-25T07:50:57.968293,(Pro) | ムール貝とアサリの白ワイン蒸し | 15 chars | Reward: US$0.72 | Japanese/English,0.72,https://gengo.com/t/jobs/details/33808490?referral=rss,ムール貝とアサリの白ワイン蒸し
2025-06-25T10:31:19.799361,(Standard) | 20250624【英】369454_【N】地熱観光ラボ縁間（おすすめドリン... | 309 chars | Reward: US$6.18 | Japanese/English,6.18,https://gengo.com/t/jobs/details/33808592?referral=rss,20250624【英】369454_【N】地熱観光ラボ縁間（おすすめドリンク）（英）.xlsx
2025-06-25T10:44:29.956186,(Standard) | 20250624【英】369452_【N】地熱観光ラボ縁間（英）.xlsx | 508 chars | Reward: US$10.16 | Japanese/English,10.16,https://gengo.com/t/jobs/details/33808594?referral=rss,20250624【英】369452_【N】地熱観光ラボ縁間（英）.xlsx
2025-06-25T11:32:56.176129,"(Standard) | 心が揺れるものをひとつひとつ集めて日々を輝かせる。
お気に入りを生活の中に散りば | 58 chars | Reward: US$1.16 | Japanese/English",1.16,https://gengo.com/t/jobs/details/33808688?referral=rss,"心が揺れるものをひとつひとつ集めて日々を輝かせる。
お気に入りを生活の中に散りば"
